Time (s),Event type,Data
0.008,Task Created,10
6.243,Task Missed,RESMAN
9.998,Task Assigned,Op5: RESMAN
15.019,Task Created,5
16.113,Task Assigned,Op2: COMM
19.027,Task Missed,SYSMON
20.802,Task Assigned,Op1: TRACK
24.064,Task Missed,SYSMON
27.994,Task Assigned,Op5: RESMAN
30.006,Task Created,5
31.347,Task Assigned,Op4: TRACK
32.797,Task Missed,TRACK
33.084,Task Missed,RESMAN
37.337,Task Assigned,Op3: SYSMON
39.314,Task Missed,RESMAN
39.470,Task Missed,TRACK
39.676,Task Assigned,Op2: RESMAN
42.739,Task Assigned,Op0: RESMAN
45.784,Task Assigned,Op2: SYSMON
49.477,Task Assigned,Op3: RESMAN
56.277,Task Assigned,Op0: RESMAN
60.003,Task Created,20
60.616,Task Assigned,Op1: TRACK
63.887,Task Missed,SYSMON
67.073,Task Missed,COMM
67.894,Task Assigned,Op2: SYSMON
68.006,Task Missed,COMM
68.617,Task Missed,COMM
70.925,Task Assigned,Op3: SYSMON
74.727,Task Assigned,Op0: COMM
76.825,Task Missed,SYSMON
80.097,Task Assigned,Op4: TRACK
83.949,Task Assigned,Op2: TRACK
85.229,Task Assigned,Op2: COMM
86.381,Task Assigned,Op2: RESMAN
88.303,Task Assigned,Op3: SYSMON
89.651,Task Missed,RESMAN
90.000,Task Created,10
94.601,Task Assigned,Op1: RESMAN
100.603,Task Assigned,Op0: SYSMON
104.506,Task Assigned,Op3: TRACK
105.872,Task Assigned,Op3: COMM
108.123,Task Assigned,Op4: TRACK
109.914,Task Assigned,Op5: RESMAN
113.999,Task Missed,COMM
114.506,Task Missed,RESMAN
119.840,Task Assigned,Op0: SYSMON
120.027,Task Created,10
121.828,Task Assigned,Op1: RESMAN
125.345,Task Missed,RESMAN
128.360,Task Assigned,Op3: RESMAN
130.426,Task Missed,RESMAN
130.462,Task Assigned,Op4: RESMAN
133.052,Task Missed,COMM
135.762,Task Assigned,Op5: SYSMON
142.522,Task Assigned,Op1: RESMAN
145.553,Task Assigned,Op0: COMM
150.013,Task Created,10
151.790,Task Missed,RESMAN
153.310,Task Assigned,Op3: COMM
153.989,Task Assigned,Op2: COMM
155.480,Task Missed,SYSMON
155.687,Task Missed,RESMAN
156.554,Task Missed,COMM
157.991,Task Missed,SYSMON
158.046,Task Assigned,Op4: TRACK
159.671,Task Missed,COMM
159.803,Task Missed,COMM
159.948,Task Missed,SYSMON
160.691,Task Assigned,Op5: RESMAN
163.708,Task Missed,COMM
166.620,Task Assigned,Op4: SYSMON
167.955,Task Assigned,Op3: TRACK
172.051,Task Assigned,Op1: COMM
174.457,Task Missed,SYSMON
175.820,Task Missed,COMM
175.831,Task Missed,SYSMON
176.078,Task Missed,SYSMON
177.790,Task Assigned,Op0: COMM
180.031,Task Created,15
181.063,Task Missed,COMM
181.549,Task Assigned,Op2: SYSMON
182.137,Task Missed,SYSMON
182.466,Task Missed,SYSMON
182.532,Task Missed,TRACK
182.948,Task Missed,SYSMON
182.951,Task Missed,COMM
185.821,Task Assigned,Op3: RESMAN
187.513,Task Assigned,Op4: SYSMON
189.156,Task Assigned,Op5: SYSMON
194.226,Task Assigned,Op1: RESMAN
195.833,Task Missed,TRACK
197.082,Task Assigned,Op0: SYSMON
199.664,Task Missed,RESMAN
202.788,Task Assigned,Op1: RESMAN
205.479,Task Missed,TRACK
205.895,Task Assigned,Op3: COMM
207.061,Task Assigned,Op2: TRACK
208.143,Task Missed,SYSMON
210.010,Task Created,15
211.318,Task Assigned,Op5: SYSMON
211.379,Task Missed,TRACK
211.744,Task Missed,TRACK
212.734,Task Missed,TRACK
213.452,Task Missed,TRACK
214.145,Task Assigned,Op4: RESMAN
219.193,Task Assigned,Op3: COMM
223.163,Task Missed,TRACK
224.141,Task Missed,TRACK
224.459,Task Missed,TRACK
226.074,Task Assigned,Op0: TRACK
231.031,Task Missed,SYSMON
231.456,Task Missed,SYSMON
231.635,Task Missed,TRACK
231.886,Task Assigned,Op1: SYSMON
234.431,Task Assigned,Op5: COMM
237.512,Task Assigned,Op4: COMM
239.406,Task Missed,TRACK
240.002,Task Created,10
240.090,Task Missed,TRACK
241.748,Task Missed,COMM
