Time (s),Event type,Data
0.006,Task Created,10
3.777,Task Assigned,Op0: TRACK
5.317,Task Assigned,Op2: COMM
7.689,Task Missed,SYSMON
8.512,Task Missed,RESMAN
8.580,Task Assigned,Op3: SYSMON
10.397,Task Assigned,Op4: COMM
10.849,Task Assigned,Op4: SYSMON
15.012,Task Created,5
23.287,Task Assigned,Op3: RESMAN
30.005,Task Created,5
34.485,Task Assigned,Op3: TRACK
40.050,Task Assigned,Op2: SYSMON
47.417,Task Assigned,Op1: RESMAN
53.049,Task Assigned,Op3: TRACK
55.060,Task Assigned,Op4: COMM
60.018,Task Created,20
62.140,Task Missed,SYSMON
62.691,Task Missed,RESMAN
62.778,Task Missed,RESMAN
63.250,Task Missed,RESMAN
63.252,Task Missed,TRACK
64.396,Task Missed,TRACK
65.628,Task Missed,RESMAN
66.578,Task Assigned,Op3: TRACK
66.800,Task Missed,SYSMON
67.345,Task Missed,RESMAN
67.823,Task Missed,COMM
67.918,Task Assigned,Op3: SYSMON
68.948,Task Missed,COMM
69.907,Task Missed,COMM
71.990,Task Assigned,Op2: COMM
72.702,Task Assigned,Op2: RESMAN
74.430,Task Missed,SYSMON
75.569,Task Assigned,Op1: RESMAN
76.045,Task Assigned,Op0: COMM
79.174,Task Assigned,Op5: SYSMON
80.294,Task Assigned,Op4: COMM
90.045,Task Created,10
91.931,Task Assigned,Op0: COMM
92.387,Task Missed,TRACK
92.469,Task Missed,SYSMON
93.264,Task Assigned,Op1: COMM
94.458,Task Missed,RESMAN
99.178,Task Assigned,Op5: SYSMON
104.425,Task Assigned,Op0: SYSMON
106.350,Task Assigned,Op1: RESMAN
109.734,Task Assigned,Op2: COMM
111.260,Task Missed,SYSMON
111.285,Task Missed,TRACK
113.637,Task Assigned,Op3: TRACK
116.131,Task Assigned,Op4: COMM
120.009,Task Created,10
120.864,Task Assigned,Op5: SYSMON
121.943,Task Assigned,Op5: TRACK
128.711,Task Assigned,Op1: SYSMON
129.255,Task Assigned,Op0: SYSMON
134.453,Task Assigned,Op4: SYSMON
142.284,Task Assigned,Op2: RESMAN
146.370,Task Assigned,Op0: COMM
150.015,Task Created,10
151.569,Task Assigned,Op1: TRACK
153.456,Task Missed,COMM
154.391,Task Missed,COMM
155.528,Task Missed,RESMAN
155.640,Task Missed,TRACK
156.157,Task Assigned,Op4: TRACK
157.036,Task Missed,TRACK
157.114,Task Missed,RESMAN
158.412,Task Missed,COMM
158.955,Task Assigned,Op4: RESMAN
162.449,Task Assigned,Op5: TRACK
164.070,Task Assigned,Op2: SYSMON
168.028,Task Assigned,Op2: TRACK
169.672,Task Missed,COMM
169.787,Task Missed,COMM
173.324,Task Missed,COMM
174.296,Task Assigned,Op0: TRACK
176.344,Task Assigned,Op1: RESMAN
180.015,Task Created,15
181.276,Task Missed,TRACK
182.505,Task Missed,TRACK
196.661,Task Assigned,Op1: COMM
203.019,Task Assigned,Op4: COMM
205.128,Task Assigned,Op4: TRACK
206.680,Task Missed,SYSMON
210.019,Task Created,15
210.305,Task Assigned,Op5: COMM
211.551,Task Assigned,Op5: COMM
212.351,Task Missed,RESMAN
212.419,Task Missed,COMM
212.422,Task Missed,SYSMON
212.497,Task Missed,SYSMON
212.501,Task Missed,RESMAN
212.602,Task Missed,COMM
