HEAD,HANDL,HANDR
-0.02128578;1.720925;0.0276226;0.202268;-0.04945559;0.06409048;0.9759786,-0.1446146;0.9309985;0.1493227;0.2484042;0.4559142;0.3719959;0.7694522,0.1166296;1.156499;0.1620887;0.3271999;-0.4295226;-0.5129336;0.6673454
-0.02363432;1.72097;0.02847759;0.2049715;-0.04941466;0.0656422;0.9753132,-0.144825;0.9307346;0.1492702;0.2425434;0.4540902;0.370713;0.7730114,0.1162743;1.156536;0.162124;0.3205379;-0.4264003;-0.5143512;0.6714768
-0.02655035;1.720829;0.02959693;0.2078619;-0.04925102;0.0669598;0.97462,-0.1455517;0.9305682;0.1492641;0.2377576;0.4525819;0.3701121;0.7756662,0.115495;1.156567;0.1621894;0.3157759;-0.4242574;-0.5154498;0.6742424
-0.02984553;1.720762;0.03033081;0.2107015;-0.04892671;0.06815976;0.9739432,-0.1480967;0.9302905;0.1492561;0.2291688;0.44991;0.369162;0.7802449,0.1129113;1.156626;0.1623366;0.3083199;-0.4212011;-0.5172933;0.6781859
-0.03273151;1.720678;0.0311354;0.21345;-0.04845146;0.06931502;0.9732867,-0.1502555;0.9299929;0.149225;0.2191177;0.4466888;0.3681918;0.7854244,0.1107527;1.156698;0.1624739;0.3006632;-0.4183778;-0.5192506;0.6818656
-0.03547304;1.720592;0.03207696;0.2163371;-0.04804001;0.0705428;0.9725812,-0.1521159;0.9297342;0.1492928;0.2083822;0.4429595;0.3673622;0.7908279,0.1092293;1.156792;0.1625818;0.2928855;-0.4158176;-0.5211144;0.6853858
-0.03937369;1.72021;0.03313632;0.2195126;-0.04748726;0.07194723;0.9717936,-0.1543708;0.9295352;0.1491129;0.197487;0.4387801;0.3667513;0.7962189,0.1080116;1.15686;0.1626361;0.2873581;-0.4142088;-0.5222518;0.6878296
-0.04256991;1.720048;0.03424953;0.2230861;-0.04689005;0.07334779;0.9709038,-0.1580774;0.9293928;0.1490507;0.1871609;0.4346963;0.3664792;0.8010635,0.1049728;1.156958;0.163216;0.2785223;-0.4119093;-0.5237173;0.6917198
-0.04546998;1.720007;0.03532939;0.2267702;-0.04628857;0.07504194;0.9699492,-0.1598715;0.9293091;0.1492315;0.1805682;0.432328;0.3662826;0.8039432,0.1017155;1.15702;0.1632504;0.268636;-0.4095117;-0.5251489;0.6959552
-0.04830384;1.719981;0.03635752;0.2302739;-0.04554932;0.07681309;0.9690196,-0.1624436;0.929186;0.1494256;0.1714507;0.4303127;0.3654873;0.8073752,0.09941688;1.157096;0.163173;0.2579125;-0.4068897;-0.5267837;0.7003006
-0.05165693;1.719823;0.03735909;0.2335249;-0.04472437;0.07857031;0.9681388,-0.1650787;0.9289803;0.1493098;0.1624089;0.4307776;0.3635575;0.8098642,0.09724846;1.157197;0.1630606;0.2462705;-0.40391;-0.5287366;0.7047306
-0.05562898;1.7194;0.03833716;0.2362917;-0.04370491;0.08037397;0.9673656,-0.1670193;0.9287881;0.1490543;0.1562872;0.4325254;0.3616078;0.8110092,0.09492277;1.157327;0.1629878;0.2341239;-0.4005234;-0.5309064;0.7091583
-0.05896151;1.719127;0.03938311;0.2388406;-0.04267188;0.08205353;0.9666445,-0.1707983;0.9284328;0.1484181;0.1473108;0.4371217;0.3580428;0.8118063,0.09273326;1.157413;0.1630099;0.2261276;-0.3980355;-0.5324169;0.7120157
-0.0621406;1.718869;0.0404318;0.2411387;-0.04163597;0.08361597;0.965985,-0.1739594;0.9281645;0.1476498;0.1389419;0.4430689;0.3552088;0.8113025,0.08995924;1.15755;0.1630578;0.2143779;-0.3940193;-0.5347914;0.7160929
-0.06604855;1.71854;0.04151232;0.2437243;-0.0407014;0.08514097;0.9652424,-0.1775777;0.9280803;0.1471489;0.1315429;0.449697;0.3538797;0.8094679,0.08740325;1.157707;0.163265;0.2031434;-0.3899432;-0.5371337;0.7198365
-0.07010878;1.718229;0.04268351;0.2465549;-0.03994827;0.08661058;0.9644239,-0.1924587;0.8703967;0.1934096;0.1246847;0.4574865;0.3527803;0.8066635,0.08467918;1.157852;0.1635335;0.1921717;-0.3861001;-0.5391764;0.7233849
-0.07360394;1.718045;0.04384406;0.2494047;-0.03929122;0.08804832;0.9635876,-0.1943163;0.8696176;0.1981626;0.1201379;0.4631218;0.3522646;0.8043599,0.08212703;1.157916;0.1636664;0.1847236;-0.383728;-0.5403109;0.725737
-0.07699679;1.717888;0.04499254;0.2521915;-0.03869556;0.08961185;0.9627418,-0.1946101;0.8844351;0.2053691;0.1132601;0.4717262;0.3519462;0.8004876,0.07898401;1.157984;0.1637711;0.1734456;-0.3805138;-0.5417606;0.7291237
-0.08036247;1.717716;0.04612435;0.2548266;-0.03796486;0.09100652;0.9619459,-0.1939178;0.887942;0.2074706;0.1107279;0.4746298;0.3520442;0.7990812,0.07659902;1.158033;0.1634671;0.1617026;-0.3775332;-0.5431197;0.7323537
-0.08440246;1.71732;0.04720828;0.2574255;-0.03719754;0.09241664;0.9611492,-0.1890044;0.9148341;0.2185045;0.09668526;0.4871913;0.3548191;0.7920859,0.07428603;1.158082;0.1632348;0.1498167;-0.374553;-0.5444171;0.7354421
-0.08856192;1.716783;0.04826169;0.2597498;-0.036345;0.09382381;0.9604198,-0.1869556;0.9224488;0.2227176;0.0903672;0.4909343;0.3573797;0.789365,0.07296034;1.158114;0.1628225;0.141843;-0.3724796;-0.5452867;0.7374294
-0.09238941;1.716429;0.04946674;0.2620409;-0.03544443;0.09512637;0.9597027,-0.1854584;0.934646;0.2290097;0.08034509;0.4948392;0.3629892;0.7854412,0.06987838;1.158068;0.162164;0.1297429;-0.3699808;-0.5448241;0.7412474
-0.09608708;1.716124;0.05076677;0.2642975;-0.03457749;0.09646668;0.9589815,-0.183194;0.9449377;0.2353216;0.06942303;0.4969845;0.3705693;0.7815787,0.06621517;1.15802;0.1616857;0.1138957;-0.3667861;-0.5449589;0.7453291
-0.1001292;1.715596;0.05193985;0.2665705;-0.03364554;0.09762831;0.9582676,-0.1842566;0.9430616;0.2347533;0.05832823;0.4975298;0.3798527;0.7776721,0.0646454;1.158008;0.1614189;0.1059457;-0.365279;-0.545639;0.7467429
-0.1045761;1.714768;0.05306222;0.2688848;-0.0326173;0.09862637;0.9575541,-0.1822904;0.9528953;0.2416823;0.0396551;0.4974768;0.3963498;0.7706174,0.06225177;1.15767;0.1603429;0.08582941;-0.3612967;-0.548373;0.7492564
-0.1123939;1.713847;0.05604526;0.2742435;-0.03036087;0.1005864;0.9559033,-0.1811881;0.9611421;0.2467476;0.03059696;0.4923674;0.4116903;0.7662566,0.05642111;1.157945;0.160184;0.07085602;-0.3600627;-0.5498938;0.7503006
-0.1165058;1.713211;0.0572907;0.2768187;-0.02914711;0.1013954;0.9551131,-0.1800556;0.9688838;0.2518235;0.02152741;0.4887111;0.4248336;0.7617182,0.05468153;1.157898;0.1599346;0.06318204;-0.3594571;-0.5504093;0.7508984
-0.1212078;1.712408;0.05878833;0.2799072;-0.02767678;0.1022531;0.9541647,-0.17927;0.9741787;0.2553727;0.01573219;0.4857606;0.4338907;0.7586356,0.05170076;1.157786;0.1595013;0.05181493;-0.359066;-0.5506147;0.7518046
-0.1253655;1.711818;0.06047615;0.2828635;-0.02604117;0.1031437;0.9532427,-0.1778845;0.9843786;0.2638849;0.003409758;0.4770145;0.4563362;0.7511343,0.1160738;1.057575;0.2717879;0.04130083;-0.3589045;-0.5508093;0.7523901
-0.1294063;1.711266;0.06220575;0.2857031;-0.0242427;0.1039888;0.952351,-0.1775591;0.986528;0.2656468;0.001232997;0.4750593;0.4608936;0.749596,0.1143543;1.056392;0.2794539;0.03155495;-0.3591869;-0.5507817;0.7527473
-0.1334671;1.710633;0.06388605;0.2884826;-0.02203194;0.1046851;0.9514901,-0.1765472;0.9930788;0.2710349;-0.004859887;0.4690607;0.4747609;0.7446882,0.1126267;1.057538;0.2841571;0.02549009;-0.3597303;-0.5506101;0.7528433
-0.1378729;1.70974;0.06552354;0.2914537;-0.01950754;0.1053821;0.9505624,-0.1754055;0.9995453;0.276553;-0.01049888;0.4634381;0.4886806;0.7391253,0.1212338;1.034564;0.293475;0.01702771;-0.3613089;-0.5500193;0.7527581
-0.1421054;1.709011;0.06733054;0.2944284;-0.01636196;0.1061844;0.9496152,-0.1754225;1.000328;0.2797325;-0.01440806;0.4601488;0.4980493;0.7348486,0.1215681;1.026893;0.3001032;0.009111136;-0.3639995;-0.5488901;0.7524236
-0.1463224;1.708369;0.06930263;0.2972977;-0.01323311;0.107314;0.9486426,-0.1748611;1.004118;0.2847954;-0.02131072;0.4559747;0.5121452;0.7275578,0.1192206;1.026621;0.3067566;0.00208237;-0.3677614;-0.5471976;0.751879
-0.1507255;1.707481;0.0710858;0.2997703;-0.01010752;0.1087087;0.9477437,-0.1743666;1.007833;0.2897678;-0.02931608;0.4520691;0.5263599;0.7195272,0.1162426;1.027453;0.3132271;-0.004139885;-0.3727087;-0.5447787;0.7511907
-0.1553011;1.70628;0.07269599;0.3018696;-0.007210015;0.1102613;0.9469241,-0.1742167;1.009804;0.2945624;-0.03791397;0.4475576;0.5412399;0.7108545,0.1168649;1.026974;0.3113644;-0.007914677;-0.3762212;-0.5429361;0.7507433
-0.1594092;1.70526;0.07465469;0.3036807;-0.004644283;0.1118393;0.9461757,-0.174264;1.011066;0.2993213;-0.04646685;0.4420339;0.5571385;0.7014582,0.1147988;1.030606;0.3150063;-0.01358525;-0.381949;-0.5400688;0.7498375
-0.1631412;1.704273;0.07662115;0.3051958;-0.002497082;0.1133596;0.9455152,-0.1742529;1.012097;0.302558;-0.05185241;0.4379088;0.5682369;0.6947331,0.1119056;1.036474;0.3200808;-0.01915395;-0.3875339;-0.5376358;0.7485976
-0.1671313;1.703062;0.07844926;0.3068147;-0.0006195581;0.114817;0.9448182,-0.1742773;1.013853;0.3092006;-0.06166663;0.42943;0.5909819;0.6800938,0.1107405;1.035965;0.3209788;-0.02296371;-0.3910102;-0.5364087;0.7475623
-0.1711047;1.701909;0.08031173;0.3089201;0.001051553;0.1162625;0.9439546,-0.1744909;1.013657;0.3123165;-0.06620452;0.4255295;0.6020437;0.6723726,0.1095829;1.036018;0.3229941;-0.0267782;-0.3943203;-0.5355481;0.7463127
-0.1746209;1.700994;0.08227777;0.3114147;0.002464604;0.1173362;0.9429989,-0.1746198;1.013596;0.3172195;-0.0729774;0.4205662;0.617151;0.6610015,0.1039535;1.039439;0.3282326;-0.03374029;-0.4006524;-0.5345835;0.7433437
-0.1777808;1.700102;0.08407672;0.3136698;0.003711983;0.118293;0.9421275,-0.1746693;1.013434;0.3222058;-0.08064042;0.4165496;0.6299976;0.6504511,0.1005417;1.041669;0.333265;-0.03810641;-0.4054522;-0.5344428;0.7406264
-0.1819273;1.698762;0.08589002;0.3157933;0.005171309;0.1193858;0.941273,-0.1748317;1.013259;0.3254608;-0.08676537;0.4140691;0.6377359;0.6436703,0.0999458;1.041603;0.3350744;-0.03931491;-0.4070336;-0.5344751;0.7396719
-0.1855945;1.697327;0.08758978;0.3174725;0.006171084;0.1204003;0.9405727,-0.175098;1.012392;0.3297613;-0.09653049;0.4104713;0.6478463;0.6344213,0.09468286;1.044678;0.3435492;-0.04456221;-0.4155334;-0.534927;0.7343019
-0.1885602;1.696073;0.08924906;0.318662;0.007118555;0.1213805;0.9400376,-0.1753516;1.011521;0.3342058;-0.1065428;0.4064651;0.6575813;0.6253172,0.09228558;1.046785;0.3467741;-0.04647751;-0.4189433;-0.5353318;0.7319468
-0.1916485;1.694567;0.09093755;0.3195677;0.008232764;0.1224135;0.9395869,-0.1754874;1.010618;0.3388175;-0.1157999;0.4020633;0.6673567;0.6160929,0.08868593;1.050155;0.3516921;-0.04948525;-0.423876;-0.5360867;0.7283485
-0.1948379;1.692796;0.09249905;0.3204572;0.009244516;0.1236139;0.9391173,-0.1755584;1.00998;0.3418548;-0.1208893;0.3992498;0.6735395;0.6101884,0.08503679;1.053693;0.3565852;-0.05271167;-0.4283152;-0.5368069;0.7249868
-0.1976042;1.691407;0.09414704;0.3219868;0.0101537;0.1252691;0.9383651,-0.1749365;1.011668;0.3471767;-0.1290665;0.3941641;0.6855751;0.5983003,0.08259051;1.056142;0.3598729;-0.0549553;-0.430863;-0.5372348;0.7229908
-0.1999631;1.690671;0.0958821;0.3246567;0.01080352;0.1274019;0.93715,-0.174502;1.011833;0.3516419;-0.13375;0.3906792;0.6940969;0.5896696,0.0777981;1.061302;0.3661821;-0.05930168;-0.4347447;-0.5383324;0.7194989
-0.202573;1.69002;0.09781328;0.3278868;0.01140338;0.1296314;0.9357114,-0.1741962;1.011782;0.3546392;-0.1363759;0.3883476;0.6994466;0.5842622,0.07656772;1.062659;0.3677283;-0.06029443;-0.4354852;-0.5386993;0.7186936
-0.2053764;1.689262;0.09984429;0.3312869;0.01160421;0.1321935;0.9341516,-0.1737603;1.010888;0.3585228;-0.1401724;0.3845258;0.707222;0.5764795,0.07171156;1.068139;0.3740927;-0.06351477;-0.4376605;-0.5398933;0.7161945
-0.2074426;1.688737;0.1016492;0.3340237;0.01146127;0.1348053;0.9328046,-0.1735104;1.010406;0.3614008;-0.142626;0.3817298;0.7122093;0.571575,0.06812105;1.072491;0.3780438;-0.06541093;-0.4390595;-0.5398406;0.7152066
-0.2090689;1.688233;0.1033703;0.3357772;0.01110522;0.1372963;0.9318154,-0.1729862;1.009543;0.3671455;-0.1470074;0.3762631;0.7210929;0.5628853,0.06437597;1.076939;0.3819922;-0.06704316;-0.4404643;-0.5391402;0.7147199
-0.2105386;1.687647;0.1050935;0.336798;0.01077677;0.1393423;0.931147,-0.1726571;1.009116;0.3696152;-0.1489977;0.3738798;0.7249434;0.5589907,0.06185696;1.079927;0.3846973;-0.06786676;-0.4412401;-0.5386018;0.7145694
-0.2122586;1.686724;0.1070022;0.3371395;0.01048205;0.1411903;0.9307483,-0.172016;1.008765;0.3733069;-0.1517004;0.3711146;0.7298549;0.5536903,0.05810703;1.084456;0.388718;-0.06871656;-0.4421063;-0.5379365;0.714454
-0.2138841;1.685636;0.108966;0.3368752;0.01019681;0.14265;0.9306246,-0.1714389;1.008415;0.3772527;-0.1543109;0.3694379;0.7338571;0.5487782,0.05466335;1.089263;0.3914458;-0.06933544;-0.4427973;-0.537354;0.7144045
-0.2150864;1.6845;0.1109894;0.3360674;0.01001505;0.1438359;0.9307361,-0.1709733;1.008029;0.3814504;-0.1573441;0.368549;0.7373279;0.5438401,0.0510599;1.093894;0.3951034;-0.06994036;-0.4435629;-0.5367019;0.714361
-0.2160625;1.68347;0.1130132;0.3356712;0.009805818;0.1450186;0.9306977,-0.1705384;1.00771;0.3835393;-0.1597807;0.368331;0.7392218;0.5406973,0.04875653;1.097023;0.3974538;-0.07041536;-0.4442122;-0.536127;0.7143425
-0.2174996;1.682226;0.1151741;0.3356668;0.009722263;0.1463929;0.9304851,-0.1701564;1.007179;0.3873107;-0.1647933;0.3682411;0.7415673;0.5360221,0.04643942;1.100248;0.399814;-0.07109626;-0.4451489;-0.5353108;0.714304
-0.2187256;1.681181;0.1174478;0.3366079;0.009475776;0.1478712;0.9299137,-0.1699019;1.006681;0.3912706;-0.1714385;0.3681195;0.7431798;0.5317712,0.04229211;1.106159;0.403184;-0.0732072;-0.4480582;-0.5328001;0.7141489
