HEAD,HANDL,HANDR
-0.1259748;1.726666;0.01569004;0.1921484;0.1880206;-0.007450296;0.9631572,-0.1184813;1.031973;0.2777717;0.2034338;0.3888803;0.6331144;0.637615,0.07960521;0.952624;0.06601285;0.04897112;-0.1099565;-0.6711515;0.7314829
-0.1265672;1.726643;0.01599532;0.1922519;0.1882201;-0.007262609;0.963099,-0.1192074;1.03198;0.2781118;0.2035131;0.3888366;0.6334825;0.6372507,0.07880896;0.9525983;0.06639619;0.04928285;-0.1084923;-0.6709792;0.7318385
-0.127234;1.726611;0.01627927;0.1923327;0.18847;-0.006989566;0.963036,-0.1198085;1.031987;0.2784547;0.2035982;0.3888259;0.6338173;0.636897,0.07817439;0.9525843;0.06662811;0.04921713;-0.1083023;-0.6708456;0.7319935
-0.1279879;1.726537;0.01654553;0.192315;0.1886598;-0.006606237;0.9630051,-0.120209;1.031991;0.27868;0.2036583;0.3888496;0.6340459;0.6366358,0.07774737;0.9525825;0.06677054;0.04918823;-0.1083004;-0.6707635;0.732071
-0.128664;1.726444;0.0167926;0.1922058;0.1888224;-0.006294155;0.9629971,-0.1208859;1.031995;0.2790008;0.2037402;0.3889178;0.6343425;0.6362724,0.07700115;0.9525822;0.0669691;0.04912482;-0.1083317;-0.6706294;0.7321934
-0.1290314;1.726367;0.01692634;0.1920392;0.1889719;-0.006041357;0.9630026,-0.1213564;1.031998;0.2792086;0.2037869;0.3889805;0.6345313;0.6360307,0.07620705;0.952581;0.06717419;0.04908545;-0.108166;-0.6704254;0.7324074
-0.1295418;1.726189;0.01710662;0.1917292;0.1892215;-0.005780032;0.963017,-0.1221092;1.032003;0.27954;0.2038667;0.3891535;0.6349285;0.6355027,0.07562533;0.9525776;0.06736274;0.04915395;-0.107777;-0.6701934;0.7326725
-0.1302123;1.72602;0.01739062;0.1915797;0.1894516;-0.00563261;0.9630024,-0.1225798;1.032005;0.279755;0.2039156;0.3893192;0.6352137;0.6351004,0.07503014;0.9525658;0.06758235;0.0494763;-0.1069905;-0.6698015;0.7331243
-0.1309201;1.725909;0.0177251;0.1915947;0.1896701;-0.005323163;0.9629582,-0.1229402;1.032006;0.2799239;0.2039548;0.3894351;0.6353706;0.6348598,0.0745296;0.9525498;0.06780401;0.04994415;-0.1061048;-0.669393;0.7335943
-0.1315946;1.725752;0.01802807;0.1915102;0.1900073;-0.005227819;0.962909,-0.1235493;1.032007;0.2802131;0.2040413;0.3896112;0.6355717;0.6345226,0.07366657;0.9525031;0.06838557;0.05137156;-0.1034258;-0.6686353;0.7345687
-0.1322633;1.725615;0.01838221;0.1914551;0.1903635;-0.005232456;0.9628496,-0.1242469;1.032007;0.2805023;0.20418;0.3897868;0.6357591;0.6341822,0.07285095;0.9524218;0.06922065;0.05340707;-0.09943454;-0.6682142;0.7353573
-0.1337077;1.725466;0.01933764;0.1919012;0.1913664;-0.005086552;0.9625627,-0.1254523;1.032002;0.2810405;0.2045748;0.3900697;0.6360149;0.6336243,0.07174541;0.9522078;0.07076974;0.05665332;-0.09168962;-0.6684387;0.7359166
-0.134327;1.725471;0.01976681;0.1923133;0.1918513;-0.004933718;0.9623848,-0.1262304;1.031996;0.2814441;0.2048999;0.3902177;0.6361516;0.6332909,0.07110369;0.9520562;0.07159857;0.05758293;-0.0877098;-0.6689578;0.7358578
-0.1349148;1.725571;0.02022506;0.1928954;0.1925079;-0.004842483;0.9621376,-0.1267499;1.03199;0.2817283;0.2051676;0.3903217;0.6362697;0.6330214,0.0707128;0.9519576;0.0721145;0.05774443;-0.08512853;-0.6695082;0.7356476
-0.1363105;1.725813;0.02130888;0.1941516;0.1943742;-0.004583875;0.9615107,-0.1281803;1.031968;0.2825345;0.2060157;0.3905616;0.6366771;0.6321878,0.06991855;0.9516929;0.07329528;0.05599509;-0.07804276;-0.6720039;0.734292
-0.1370046;1.725978;0.02175257;0.1947856;0.1957733;-0.004201028;0.9611003,-0.1289591;1.031955;0.28301;0.2063761;0.3906317;0.6369337;0.6317683,0.06949221;0.9515901;0.07384658;0.05403727;-0.07440907;-0.6732587;0.7336663
