HEAD,HANDL,HANDR
-0.03952197;1.725811;-0.08752025;0.005936465;-0.05219556;0.01954341;0.998428,-0.3189444;0.8161068;0.07638258;0.1743053;0.3280578;0.5102261;0.7756707,0.1306192;0.8482202;0.2025153;0.2207346;-0.3571083;-0.6023961;0.6788732
-0.03950215;1.725771;-0.0874424;0.005839717;-0.0523697;0.01951043;0.9984201,-0.3185422;0.8160796;0.07676475;0.1743095;0.3280806;0.5102711;0.7756305,0.1305462;0.8482269;0.2027023;0.2205054;-0.3568906;-0.6025221;0.6789504
-0.03949423;1.725732;-0.08734841;0.005759769;-0.05253103;0.01948363;0.9984126,-0.3183621;0.8160539;0.07703524;0.1743121;0.3281018;0.5103171;0.7755907,0.1305125;0.8482301;0.2027905;0.2203956;-0.356783;-0.6025838;0.6789878
-0.03949088;1.725706;-0.08724976;0.005726149;-0.05270548;0.01956326;0.9984021,-0.3182467;0.8160288;0.07724738;0.1743132;0.3281199;0.5103579;0.775556,0.1304603;0.8482345;0.202926;0.2202338;-0.3566263;-0.6026719;0.6790445
-0.03950836;1.725645;-0.08714618;0.00558995;-0.05284998;0.01959018;0.9983947,-0.3181636;0.8160034;0.07742;0.1743136;0.3281345;0.5103955;0.7755249,0.1304026;0.8482381;0.2030731;0.2200867;-0.3564907;-0.6027484;0.6790954
-0.03952076;1.725559;-0.0870396;0.005412944;-0.05300338;0.0195598;0.9983881,-0.3181018;0.8159766;0.07756478;0.1743134;0.3281488;0.5104342;0.7754935,0.1303385;0.8482412;0.2032318;0.2199594;-0.3563749;-0.6028118;0.6791413
-0.03953622;1.725448;-0.08693264;0.005180934;-0.05313167;0.01966819;0.9983804,-0.3180595;0.8159484;0.07768992;0.1743123;0.3281614;0.5104688;0.7754657,0.1302927;0.8482428;0.2033432;0.219891;-0.3563088;-0.6028464;0.6791673
-0.03956884;1.725378;-0.08681668;0.005011863;-0.05322257;0.01974033;0.998375,-0.3180404;0.8159287;0.07776666;0.1743107;0.3281687;0.5104887;0.7754498,0.1302249;0.8482444;0.2035071;0.2198125;-0.3562265;-0.6028883;0.6791986
-0.03959151;1.725294;-0.08670038;0.004829298;-0.05330805;0.01972723;0.9983716,-0.3180256;0.8159076;0.07784151;0.1743084;0.3281757;0.5105076;0.775435,0.1301629;0.8482445;0.2036544;0.2197495;-0.3561559;-0.6029211;0.6792271
-0.03960547;1.725161;-0.08656736;0.004613288;-0.05342922;0.01955672;0.9983695,-0.3180082;0.8158622;0.07800277;0.1742996;0.3281897;0.5105388;0.7754104,0.130105;0.8482429;0.2037949;0.2197002;-0.3561014;-0.6029454;0.6792499
