HEAD,HANDL,HANDR
0.05120205;1.727411;-0.04761079;0.07236172;0.0610781;-0.002855806;0.9955025,-0.1525446;0.9701535;0.1305534;-0.01903233;0.1100824;0.680721;0.7239741,0.2793944;0.9285041;0.1423889;-0.03308669;-0.1125372;-0.6696718;0.7333353
0.05116765;1.727349;-0.04756047;0.07211285;0.0613005;-0.002753275;0.9955071,-0.1523134;0.9701754;0.1305123;-0.01810348;0.1125817;0.6797954;0.7244833,0.2795148;0.9285954;0.1419781;-0.03339636;-0.1125649;-0.6694689;0.7335021
0.05108598;1.727189;-0.04752667;0.07164825;0.06157174;-0.002502196;0.9955246,-0.1520854;0.9702088;0.1304995;-0.01684684;0.1161098;0.6783286;0.7253309,0.2795967;0.9287012;0.1417552;-0.03372645;-0.1125775;-0.669305;0.7336347
0.05101047;1.727107;-0.04746959;0.0713157;0.06182428;-0.002238709;0.9955335,-0.1519892;0.9702423;0.1306377;-0.01575272;0.1194114;0.6768054;0.7262419,0.2796364;0.9287707;0.1416689;-0.03399408;-0.1125467;-0.6692011;0.7337218
0.05096644;1.727025;-0.04736336;0.07101216;0.06209384;-0.00206989;0.9955387,-0.1519648;0.970277;0.1310363;-0.01463582;0.122719;0.6752088;0.7271994,0.2802235;0.928852;0.1400324;-0.03464016;-0.1123406;-0.6689818;0.7339232
0.05098803;1.726982;-0.04722466;0.07078556;0.06226286;-0.00212424;0.9955442,-0.1519318;0.9703013;0.131365;-0.01379742;0.1250113;0.6740932;0.72786,0.2803281;0.9289674;0.1397026;-0.03550401;-0.111915;-0.6687251;0.7341807
0.05098933;1.726987;-0.04705498;0.07075128;0.06252898;-0.002538059;0.995529,-0.1517999;0.9703532;0.1320116;-0.01179764;0.1298063;0.6717519;0.7292191,0.2803685;0.9291444;0.13954;-0.03656277;-0.1113667;-0.6684651;0.7344488
0.05095974;1.727111;-0.04688154;0.07108421;0.06282919;-0.003042765;0.9954849,-0.1516746;0.9703923;0.1324553;-0.01019087;0.1333528;0.6700081;0.7302071,0.2807932;0.9291991;0.1384521;-0.03776766;-0.1108735;-0.6682288;0.7346774
0.05089262;1.727219;-0.04671086;0.0713502;0.06316501;-0.00339473;0.9954436,-0.1516313;0.9704054;0.1325988;-0.009668604;0.134462;0.6694438;0.7305282,0.2809374;0.9291741;0.1381581;-0.0384901;-0.1106732;-0.6681261;0.7347636
0.05079075;1.727311;-0.0464891;0.07161006;0.06362788;-0.003932899;0.9953934,-0.1514932;0.9704564;0.1331718;-0.007752493;0.1384276;0.6674097;0.7316707,0.2810723;0.9290732;0.1379951;-0.03950733;-0.1105172;-0.6680161;0.7348331
0.05070263;1.727272;-0.04627745;0.07147574;0.0640472;-0.004430996;0.9953741,-0.1514593;0.9704934;0.1336061;-0.006597549;0.1406231;0.6663558;0.7322236,0.2812085;0.9288721;0.1379197;-0.04052067;-0.1104374;-0.6679248;0.7348729
0.05057441;1.727138;-0.04601426;0.07108713;0.06464203;-0.004965027;0.995361,-0.1514668;0.9705178;0.133873;-0.005918771;0.1418456;0.6658668;0.7324385,0.2813554;0.9285334;0.1376703;-0.04141127;-0.1103392;-0.6678364;0.7349184
