HEAD,HANDL,HANDR
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364645;0.9383358;0.7238855;-0.3342139;0.2566983;0.21289;0.8815241,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238852;-0.3342066;0.256702;0.2128976;0.881524,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.3342074;0.2567031;0.2128974;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.7238851;-0.3342074;0.2567031;0.2128972;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238851;-0.334207;0.2567027;0.2128974;0.8815237,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383363;0.7238849;-0.334208;0.2567042;0.2128966;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383364;0.7238849;-0.3342076;0.2567038;0.2128969;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.3342071;0.2567034;0.2128974;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238851;-0.3342067;0.256703;0.2128976;0.8815237,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.3342071;0.2567034;0.2128974;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.3342071;0.2567034;0.2128975;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.7238851;-0.3342071;0.2567034;0.2128975;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238851;-0.3342067;0.256703;0.2128977;0.8815237,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.7238851;-0.3342071;0.2567035;0.2128975;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238851;-0.3342066;0.2567031;0.2128979;0.8815236,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238852;-0.3342062;0.2567026;0.2128981;0.8815238,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383364;0.7238849;-0.3342075;0.256704;0.2128974;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.334207;0.2567036;0.2128977;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.334207;0.2567036;0.2128977;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.334207;0.2567036;0.2128977;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383364;0.7238849;-0.3342074;0.2567042;0.2128975;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383363;0.7238849;-0.3342078;0.2567046;0.2128972;0.8815228,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.723885;-0.334207;0.2567037;0.212898;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238851;-0.3342066;0.2567032;0.2128982;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.334207;0.2567038;0.212898;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.723885;-0.334207;0.2567037;0.2128981;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.723885;-0.334207;0.2567037;0.2128981;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.723885;-0.334207;0.2567038;0.2128983;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.334207;0.2567039;0.2128983;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238848;-0.3342074;0.2567043;0.2128982;0.8815229,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.334207;0.2567039;0.2128983;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.334207;0.2567039;0.2128983;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.3342074;0.2567043;0.2128982;0.881523,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.3342074;0.2567043;0.2128982;0.881523,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.3342074;0.2567044;0.2128982;0.8815229,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.3342069;0.256704;0.2128985;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.3342074;0.2567044;0.2128983;0.8815229,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.3342069;0.256704;0.2128986;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238849;-0.334207;0.256704;0.2128986;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342069;0.256704;0.2128986;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342069;0.2567041;0.2128987;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.723885;-0.3342064;0.2567036;0.2128989;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
