PID,Condition,Condition Order,Scenario,Scenraii Order,Success,Score,Help,Help(Unnecessary),COMM-Success,COMM-Score,COMM(Not adressed)-Reaction-Success,COMM(Not adressed)-Reaction-Failure,COMM-Reaction-Success,COMM-Reaction-Failure,COMM-Completion-Success,COMM-Completion-Failure,RESMAN-Success,RESMAN-Score,TRACK-Success,TRACK-Score,TRACK-Score(Adressed to Experimenter),TRACK-Score(Adressed to Participant),TRACK-Help,TRACK-Help %,TRACK-Help(Unnecessary),TRACK-Help(Unnecessary) %,SYSMON-Success,SYSMON-Score,SYSMON-Score(adressed to experimenter),SYSMON-Score(adressed to participant),SYSMON-AvgResponseTime(adressed to experimenter),SYSMON-AvgResponseTime(adressed to participant),SYSMON-AvgCompletionTime(adressed to experimenter),SYSMON-AvgCompletionTime(adressed to participant),SYSMON-Help,SYSMON-Help %,SYSMON-Help(Unnecessary),SYSMON-Help(Unnecessary) %,PID, Gender, Age, Video Games, 3D Environments, Immersive technologies, Did the bars helped ?, Evaluation of the bars, Did the icons helped ?, Evaluation of the icons, Did you always know when your partner needed help ? (with indicators), Did you always know when your partner needed help ? (without indicators), Could you always help your parnter ? (with indicators), Could you always help your parnter ? (without indicators), Remarks
1,With Panels,1,1,1,0.867458217592593,0.803006481481481,73.6111111111111,2.08333333333333,1,0.25,26.697325,-1,7.045675,-1,6.044825,-1,0.9688,0.2422,0.6306625,0.157665625,0.10699375,0.050671875,4,100,0,0,0.87037037037037,0.153140856481482,0.129426608796296,0.023714247685185,3.11171666666667,9.85921666666667,2.46124166666667,7.05188333333333,17,47.2222222222222,3,4.16666666666667,1,M,19,4,4,4,2,3,4,3,1,1,1,1,"A notification system would enhance collaboration, I would not have to always monitor the icons (cf Among Us)"
2,With Panels,2,2,2,0.891022222222222,0.837334560185185,81.9444444444444,12.5,0.875,0.223958333333333,10.48495,-1,8.56056666666667,12.9152,6.31993333333333,9.8625,1,0.25,0.8002,0.20005,0.120265625,0.079784375,4,100,1,25,0.888888888888889,0.163326226851852,0.137767673611111,0.025558553240741,2.34674166666667,12.8316833333333,2.30120833333333,2.54548333333333,23,63.8888888888889,0,0,2,M,24,4,4,0,3,4,4,3,1,0,1,1,"Add sound to the indocators, make them blink near a critical threshold, make the panel always facing the camera"
3,With Panels,2,1,2,0.930918865740741,0.872202546296296,87.5,50,1,0.25,3.152575,-1,7.838125,-1,2.789675,-1,0.9892,0.2473,0.7715125,0.192878125,0.1229625,0.069915625,4,100,4,100,0.962962962962963,0.182024421296296,0.135632939814815,0.046391481481482,2.48104166666667,4.6774,2.566525,7.22901666666667,27,75,0,0,3,M,20,1,0,0,2,3,1,2,0,0,1,1,
4,With Panels,1,2,1,0.729024768518519,0.732332662037037,81.9444444444444,0,0.75,0.239583333333333,5.5396,-1,8.255,12.5783,4.0431,11.9912,0.6326,0.15815,0.709425,0.17735625,0.122303125,0.055053125,4,100,0,0,0.824074074074074,0.157243078703704,0.14115099537037,0.016092083333333,2.12888333333333,15.1351333333333,1.83388333333333,2.01485,23,63.8888888888889,0,0,4,F,22,4,4,0,0,1,1,2,0,1,1,1,"I restrained my movements due to the proximity with my collaborator's avatar (even knowing we were physically distant). The panels being face to face, I just had to turn my head which was less demanding than looking at the indicators."
5,With Panels,1,1,1,0.962215625,0.907888784722222,100,0,1,0.25,3.05826,-1,5.72486666666667,-1,4.22863333333333,-1,0.9919,0.247975,0.8569625,0.214240625,0.123253125,0.0909875,4,100,0,0,1,0.195673159722222,0.146900925925926,0.048772233796296,1.45611666666667,7.02011666666667,1.66485833333333,2.47461666666667,36,100,0,0,5,M,21,3,2,2,2,3,4,4,1,0,1,1,
6,With Panels,2,2,2,0.931281481481481,0.872627581018518,80.5555555555556,19.4444444444444,1,0.25,2.8749,-1,6.861375,-1,4.22935,-1,0.996,0.249,0.8032,0.2008,0.119803125,0.080996875,4,100,1,25,0.925925925925926,0.172827581018518,0.137126087962963,0.035701493055556,2.49774166666667,8.81965,1.98835833333333,5.82136666666667,22,61.1111111111111,10,13.8888888888889,6,M,18,1,3,1,0,1,3,3,0,0,1,1,"Indicators were useful for the tracking and system monitoring task, less for the communication and resource management tasks."
7,With Panels,2,1,2,0.795859375,0.738261944444445,100,12.5,1,0.25,3.66011428571429,-1,6.1853,-1,4.0517,-1,0.4469,0.111725,0.7365375,0.184134375,0.12125625,0.062878125,4,100,1,25,1,0.192402569444444,0.14848068287037,0.043921886574074,1.43181666666667,8.38078333333334,1.57805,2.12748333333333,36,100,0,0,7,F,30,2,3,3,3,3,4,4,1,0,1,0,
8,With Panels,1,2,1,0.928625810185185,0.873233622685185,86.1111111111111,0,0.875,0.239583333333333,2.4006,-1,6.99114,10.017,6.1303,10.5279,0.9871,0.246775,0.8616625,0.215415625,0.120925,0.094490625,3,75,0,0,0.990740740740741,0.171459664351852,0.143952847222222,0.02750681712963,1.69449166666667,11.942,2.096325,3.43343333333333,35,97.2222222222222,0,0,8,M,27,4,4,1,4,3,4,4,1,0,1,1,
9,With Panels,1,1,1,0.793823148148148,0.769721666666667,79.1666666666667,0,0.875,0.244791666666667,3.20248,-1,8.8661,6.4016,7.363,18.1522,0.7202,0.18005,0.7375,0.184375,0.124853125,0.059521875,4,100,0,0,0.842592592592593,0.160505,0.140164305555556,0.020340694444445,2.21706666666667,13.3845,1.85185833333333,4.21276666666667,21,58.3333333333333,0,0,9,M,23,1,0,0,0,2,4,4,1,0,1,0,
10,With Panels,2,2,2,0.840317361111111,0.854339236111111,91.6666666666667,12.5,0.75,0.244791666666667,2.93485,-1,7.6427,9.92975,6.04875,30.09735,0.8447,0.211175,0.822125,0.20553125,0.108678125,0.096853125,4,100,1,25,0.944444444444444,0.192841319444444,0.146039421296296,0.046801898148148,1.72805,7.44008333333333,1.60410833333333,3.0486,30,83.3333333333333,0,0,10,F,22,2,3,3,2,0,2,2,0,0,0,0,Icons are too small
