PID,Gender,Age,Handedness,Video Games,3D Environment,Immersive Tech,Condition,Presentation,Stress feedback,C,Order,Trial duration,Time Spent assigning task,Idle Time,Portion of time worked,Team success,Team failure,Team Success Rate,Team Score,Team Score per task,Team Score per minute,stress,queue,compl,allcompl,hist,portion,success,score,rank_stress,rank_queue,rank_compl,rank_allcompl,rank_hist,rank_portion,rank_success,rank_score,strategy,speed,mental,physical,temporal,performance,effort,frustration,frequency,simple,easy,support,integration,consistency,learning,intuitive,confident,prerequisites,taskQueue_pref,currentTaskCompl_pref,allTasksCompl_pref,taskHistory_pref,portionWorking_pref,success_pref,score_pref,stress_pref,strategyChange,stressFB,stressErrorCheck,prefLiteral,prefSymbolic,combinations,remarks
101,Male,27,Right-handed,3,4,4,Literal Stress,Literal,Stress,1,2,454.907,212.652,242.255,0.68,42.0,133.0,0.24,38.77,0.24,5.113572664302814,5,5,5,5,5,5,5,5,8,7,6,4,1,3,2,5,look they are task queue and stress to choice give the task to which one,4,2,2,2,4,2,2,4,4,4,3,5,5,4,5,5,4,Symbolic with Stress,Symbolic with Stress,Symbolic without Stress,Literal with Stress,Literal without Stress,Literal with Stress,Literal with Stress,Symbolic with Stress,"Yes, since different representations have different intuitive feeling for me, this has led to a change in focus of my cognition.","Yes, it's about the efficiency of the error rate.",Yes,straightforward and simple,beautiful and three-dimensional,May be Literal.,hope have more interactions
102,Male,19,Right-handed,3,1,1,Literal Stress,Literal,Stress,1,1,693.272,338.852,354.4200000000001,0.4766666666666666,162.0,15.0,0.9152542372881356,160.48,0.9152542372881356,13.888920943006495,5,5,1,5,1,3,5,3,2,4,5,1,3,7,6,8,"try to evaluate the time of task accomplishment,and allocate tasks when they are in low fatigue. ",2,5,5,4,2,4,4,4,5,2,5,5,3,5,4,2,4,Literal with Stress,Literal with Stress,Literal with Stress,Literal without Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,"sure,it is because when condition changed the thing I focus changed, so I try to change strategy to keep stress less and score more","Yes, as it is a more intuitive method of increasing success to gain scores compared to making a assumption and estimating the rate of success by the portion of working time.",No,"Task queue and history as if it is too outstanding ,it might impact your focus and the speed you made decision.","success and stress, since it is very intuitive to estimate your current results","Task queue,Current task completion, All task completion, and task history-literal and the other things could be symbolic.","If it is possible, I prefer the redesign of component,  the most frequently used part(for example,  I really prefer using the stress, the score,etc) could be highlighted or resized larger while the less frequently used part like Task history ,which can be indirectly used to estimate the stress, can be resized smaller or removed."
103,Male,37,Right-handed,3,4,4,Literal Stress,Literal,Stress,1,3,593.437,448.279,145.15800000000002,0.5099999999999999,132.0,41.0,0.7630057803468208,141.45,0.7630057803468208,14.301433850602507,4,3,1,4,1,2,5,5,4,2,5,3,1,8,6,7,Wait to the stress percentage to go down,4,3,2,4,3,3,3,4,4,5,4,5,5,4,4,4,3,Symbolic without Stress,Literal with Stress,Symbolic with Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Symbolic with Stress,"Yes, because in the absence of a stress indicator, I focused more on success score.","Yes, as the coordinator, I appreciated knowing how stress operators were.",Yes,The scores are best as a number because you can remember them easier.,The stress chart was great help and gives a sense of how fats stress increases/decreases.,Both stress and success score could be both literal and symbolic.,"No, thank you Tom!"
104,Male,18,Right-handed,4,2,2,Literal Stress,Literal,Stress,1,4,624.579,464.236,160.34299999999996,0.5016666666666667,140.0,34.0,0.8045977011494253,141.41,0.8045977011494253,13.584510526290511,5,3,5,5,1,3,5,5,2,5,4,1,3,6,7,8,"I first dispatch task to all operators and try to estimate their speed of stress recovery and task completing, then i try to dispatch more tasks on the better performance operator and try to dispatch less task to other lower performance one. Because this scenario have stress and sucess and score rate, i don't actually know their relation so i try to observe and found it out.",5,4,4,4,3,4,1,4,4,5,5,5,4,5,4,4,4,Literal with Stress,Symbolic with Stress,Literal with Stress,Symbolic without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"yes, because i can see different data of each operator like their stress and sucess rate, so i have to change my strategy e.g. it used to have stress graph which change simutaneously , but then the next scenerio changed it to a pending update one which cause me have to give everyone operator a try in order to calculate speed of each one, wasting some score.","Yes, because the stress level is related  to the operator's task sucess rate, if a operator have a score arte of 99% but the stress is at 90 %, it is possible to waste the task, time and score on this operators, so i think stress feedback is important because it decide whether you can get a score or not.",No,"The stress graph have 2 important data for me, one is % of stress and other is level(low,medium,high), i think if the stress is at 30 % and the '30%' was able to be inlined as green, the level below it, 'low' such also be inlined as green .","To add the sucess rate so that i can calculate fast, and the stress graph can add a overall % above the graph so that i won't have to wait and estimate how long the stress level goes down to 'low' level. ","a stress board from Literal with sucess rate and score rate board , remove thetask history and replace by others board like stress graph from symbolic.","Sometime the operator status board was cover by others operator's status board, it would be better to fix that. Also the table is not large enough, there were few times where i drop some box on the floor and it respawn on the top, the table were full of boxs and the box were drop into the operator's black box, it would be better to have ab igger table and just turn the table into a bucket so thing inside won't fell out."
105,Female,27,Right-handed,3,1,3,Literal Stress,Literal,Stress,1,2,608.547,157.081,451.466,0.505,141.0,31.0,0.8197674418604651,140.72,0.8197674418604651,13.874359745426402,5,4,4,2,3,3,5,5,5,4,1,2,3,7,6,8,"Watching the stress level and the success rate, then the score rate",5,2,1,1,4,2,1,4,5,5,5,5,5,5,5,5,5,Literal without Stress,Literal without Stress,Literal with Stress,Symbolic with Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Symbolic without Stress,"Yes, depending if I had a symbolic or non symbolic layout I used different features stronger or less","yes, I would like to have an overview of the stress level has it helps to decide when to integrate breaks",Yes,"Less text, if literal then number based","easy understanding of the information provided, more intuitive","stress level in percentage, success/failure rate from literal environment (last one), task queue & history from literal because it's less confusing,","I would integrate ""I liked"" and ""I don't liked"" questions into each test questionnaire because it was harder for me to remember what specifically I preferred or not"
106,Male,28,Right-handed,5,5,5,Literal Stress,Literal,Stress,1,1,629.330,413.859,215.47100000000006,0.5116666666666666,134.0,40.0,0.7701149425287356,134.6,0.7701149425287356,12.832695088427375,5,5,4,4,3,4,5,5,7,6,2,1,4,5,3,8,Focused on giving one or two operators time to rest while the others are working. focused on assigning tasks after stress levels went below 35-40%. ,1,3,2,3,2,2,1,4,4,5,4,5,5,5,5,5,5,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Literal with Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"Yes, when I have the stress I can focus mainly on that. But when I don't I have to focus on multiple other thing such as: Success/Failure and score.","Really helpful, helps predict next tasks success probability. And therefore, helps with assigning tasks or let operators rest.",Yes,The success/failure rate,The Stress levels,Use the symbolic stress and the literal success/failure representation. the other components are good in both.,"Try adding different skilled operators, and maybe rather than just success or failure (true or false) add the success rate of each task. (if an operator achieves 65 success of a task, it might increase their stress with the next task)"
107,Male,24,Right-handed,3,3,2,Literal Stress,Literal,Stress,1,3,668.110,235.362,432.74800000000005,0.49000000000000005,161.0,15.0,0.9147727272727273,164.11,0.9147727272727273,14.737992246785709,5,5,3,1,1,1,2,2,7,6,3,1,2,4,5,8,the same as before,3,3,3,3,3,3,2,3,4,3,5,5,5,4,5,5,5,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Symbolic with Stress,yes if possible I use the stress,"a lot, then I can reliably predict if it will be successful",Yes,nothing,fast reading,none,nan
108,Male,23,Right-handed,3,5,2,Literal Stress,Literal,Stress,1,4,646.679,402.826,243.85299999999995,0.49833333333333335,153.0,23.0,0.8693181818181818,158.14000000000001,0.8693181818181818,14.672503668744465,5,2,3,3,2,3,5,5,2,3,4,1,5,7,6,8,managing stress level below 40 and score/success above 60,3,4,2,3,3,2,1,4,5,5,5,4,5,3,4,5,5,Literal without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,I changed a little with the stress but keep the score/success literal or not,yes because it directly impact the success rate,Yes,"the size of the score and success number, the average (50%) is more visual than the camembert",the stress bar chart,stress bar chart + success/score in literal,the supervisor was too talkative ;)
109,Female,27,Right-handed,1,1,1,Literal Stress,Literal,Stress,1,2,861.210,377.416,483.79400000000004,0.38333333333333336,168.0,7.0,0.96,163.12,0.96,11.364475563451423,5,5,5,5,4,3,5,5,5,4,2,1,3,7,6,8,I assigned tasks to the operators who were less stressed. I made sure to give all operators a rest in-between the tasks.,5,5,4,3,2,3,2,2,5,5,2,5,5,4,4,5,3,Literal with Stress,Literal without Stress,Literal with Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,Literal with Stress,Symbolic with Stress,No. My strategy remained the same because I tried to ensure that all the operators tasks and rest were well balanced.,"Absolutely. As a team leader it would be useful to have an indicator of the stress levels of your team members. Otherwise, you might keep assigning tasks to an operator that is highly stressed and this will impact the success of the task completion.",Yes,The numeric representation of the score and success rates.,I liked how the stress levels were represented in a graph format. It was easy to track the current and past stress levels.,Everything in the Literal Visualization should remain the same except for the stress levels. Replace the stress level representation of the Literal Visualization with that of the Symbolic Visualization.,None.
110,Female,26,Right-handed,2,5,3,Literal Stress,Literal,Stress,1,1,513.467,209.739,303.72799999999995,0.6083333333333333,61.0,115.0,0.3465909090909091,61.45,0.3465909090909091,7.180597779409387,5,3,4,4,2,4,4,4,8,7,6,1,5,4,2,3,I keep the stress level on MEDIUM and assign more tasks. They compensate one another. ,1,3,5,3,3,3,4,3,3,5,3,3,5,5,5,5,3,Literal with Stress,Literal with Stress,Symbolic with Stress,Literal with Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,"Depending on how data is visualized, the strategy will alter to adapt",yes because it is the meter to evaluate their performance,No,Numbers,Graphs and charts,"Depending on the display data. For evaluating elements such as score, success rates, stress level, charts and graphs are better while numeric elements such as task history, task in queue should be literal. Hybrid elements can be the progress bars.",Too bright for my eyes.
