PID,Gender,Age,Handedness,Video Games,3D Environment,Immersive Tech,Condition,StressPrediction,NumberOfColors,C,Order,Trial duration,Time Spent assigning task,Idle Time,Portion of time worked,Team success,Team failure,Team Success Rate,Team Score,Team Score per task,Team Score per minute,CA_taskQueue,CA_currentStress,CA_futureStress,CA_testedStress,CA_strategy,CA_speed,mental,physical,temporal,performance,effort,frustration,stratChangeVisu,stratChangeOther,CurrentStressFB,FutureStressFB,TestedStressFB,colorPref,remarks
10,Male,19,Left-handed,5,3,3,3 Colors - No Prediction,No Prediction,3,1,3,597.667,267.531,330.136,0.5,164.0,10.0,0.9425287356321839,166.91000000000003,0.9425287356321839,16.756153510232288,3,2,N/A,N/A,"same as before, i try keep them eitehr in low or low-medium, give them hard if they are in low or 2 easy. sometimes if i miss it and didn't give it a task for a long time, it would be hard + easy ",1,4,1,4,1,3,1,"no, it basiclly the same stragtegy i use everytime, but just getting more accurate if have prediction and more details (like low-medium display instead of 3 colours)","no, i think it is the best stragtegy and most affective one","if i can't see it, i just have to guess tehir streess level, it will not be accurate distributing tasks if i can't see them","yes, it really helps my distribution mroe accurate, i mean coutnign down their stress level in brain won't be accurate especially their speed are different","not really, because it do basiclly the same as future stress level",5 Levels (Right),Bigger table
11,Male,27,Right-handed,4,5,5,3 Colors - No Prediction,No Prediction,3,1,4,590.042,508.464,81.57800000000003,0.5316666666666666,76.0,96.0,0.4418604651162791,75.85,0.4418604651162791,7.713010260286556,5,5,N/A,N/A,"I need to check the current stress level first, and then check the task queue",2,5,5,5,4,4,5,"yes. because I need to adjust my strategy to achieve better score. For example, if there is not future and tested stress, I will frequently look at the task queue. If there exist future stress, i won't have to check task queue often.",I wait for the low stress level and then allocate the task to the operator. I often assign two easy tasks at the same time to fast operator and often assign one hard task to slow operator.,"Yes, it helps me know the current stress level of operator which will potentially affect if i will distribute the task to this operator.","Yes, if I know the future stress level of the operator, I can clearly know if i should distribute tasks to this operator.","yes, it can help me make decision when I was struggling with distributing tasks.",5 Levels (Right),The approach of distributing task like toss the cube will potentially involve more physical effort. Too many cubes on the table.
12,Female,34,Ambidextrous,3,3,3,3 Colors - No Prediction,No Prediction,3,1,2,445.979,208.315,237.664,0.6416666666666666,37.0,135.0,0.21511627906976744,34.010000000000005,0.21511627906976744,4.575551763648065,3,3,N/A,N/A,i check the color first and then give hard to green easy to yellow or red; then they all turned red so i started to only look at queue and give those who are resting more work. i kinda find out who is faster so i start to load those faster people more work regardless of stress level when all of them are red anyway,3,4,3,3,3,3,2,not really because they get red fairly quick. so i only use the color stress feedback very briefly at the begning of each task/wait,i changed from the second condition when i saw the questionnaire said there was a fast and slow operator i started to test them out and assign harder and more task to those faster ones regardless of stress,i think current stress is enough otherwise it gives me more mental effort to rem how much more i need to add and make my decision making slower and hestitant. i think the current stress with stripes indicating future stress level is the best,i dont think so. i think it adds too much effort to the commander when you are in a time task. i think as a commander in the time and fast task you just need to have a general understanding of each operator,no same reason above. i feel like in this type of task environment where a commander deals with multiple operators the commander only needs to know a general performance to help with the team rather than too much individual information,5 Levels (Right),i like five but only in one ring (my last condition) 
13,Male,20,Right-handed,2,2,1,3 Colors - No Prediction,No Prediction,3,1,1,576.477,397.122,179.35499999999996,0.5066666666666667,151.0,22.0,0.8728323699421965,152.48,0.8728323699421965,15.870190831550955,3,5,N/A,N/A,I would give hard tasks to resting operators that had green stress levels. I would give easy tasks to either resting operators with yellow stress levels or to busy operators with green stress levels (that did not have a queue of more than 2).,1,2,2,4,3,3,2,"Yes--when I could see a higher resolution of future stress levels, it allowed me to stay in the low yellow zone at all times.","Yes--as I learned how the game worked, I became more aware of avoiding higher levels of stress. I'm not sure this resulted in a conscious strategy, but I understood how to score better.","Its not as important as future stress levels, but its still helpful because it lets the user know which operators are currently low-stressed, which is helpful to know for maximizing points.","No--I don't think this added any value to my strategy, but addmittedly I could be naive.","Absolutely--this was super helpful. Admittedly, I completely lost track of which operators were the fastest and slowest because it was so mentally easy to just watch the colors. ",5 Levels (Right),nan
14,Female,36,Right-handed,2,3,3,3 Colors - No Prediction,No Prediction,3,1,3,545.847,327.438,218.409,0.515,120.0,52.0,0.6976744186046512,121.44,0.6976744186046512,13.348795541607814,4,4,N/A,N/A,I choose the operator considering the current color of the ring.,4,3,3,3,4,4,4,"Yes, I changed my strategy. When I can have future stress level, I could use this information regardless of the speed of each operator. But when I only have the current stress level, it took me more time to assign the task because I had to consider both the stress level and their capability.",No. I changed my strategy depending on the visual feedbacks.,Yes. The current stress level is the fundametal information for my decision making.,"Yes. When I have the future stree information, I can decide faster and easier to assign the task.","Yes, the information helped me to confirm my decision.",5 Levels (Right),nan
15,Male,29,Left-handed,5,5,5,3 Colors - No Prediction,No Prediction,3,1,4,605.337,331.714,273.623,0.515,133.0,39.0,0.7732558139534884,136.2,0.7732558139534884,13.499918227367564,1,5,N/A,N/A,"Prediction and calculation of their stress after a task assignment, along with previously mentioned strategy.",3,5,4,3,2,5,2,Slightly. This varies by the feedback that I can access and see.,"Slightly. There is a certain level of learning effect ""the way collision works, strategies of picking and throwing a correct cube to a correct operator, the pattern of the operator e.g. the speed it takes to recover etc..""","Depends on the task and use case. For the scenario in this study, the stress level influences the performance hence it serves as an important factor to help with judging task and achieving an desirable outcome from a task/mission/operation.","Yes. Considering there are many concurrent operators, it can be difficult to track each of their stress. Hence a future stress would be essential as a visual cue to guide the manager who assign the tasks to the operators.",Depending on the task scenario but I would see how it is been helpful for this experiment.,5 Levels (Right),"There are some inconsistencies in the task design. For instance, when I was throwing a cube ""task"" to an operator/their bucket, a bunch of cubes spawn and collides with the throwing cube therefore assigning one intended and one unintended tasks to the operator. Furthermore, I feel it is hard to differentiate between easy and hard tasks likewise picking the correct one up. It would be easier if they are presented with different colors ""e.g. green for easy / red for hard"" or different visual representation ""e.g. a chilli for hard and a candy for easy task etc.."". The task also requires the user to constantly pay attention to many different places ""from left to right for each operator, top left to top right for their indicators/stress visualizations, bottom centre for task selection, and throwing objects. Not to mention mental effort to consider which operators beenthe fast or slow operator, their stress level etc. Due to this, the task is overally difficult and requires a high physical and mental effort to complete."
16,Male,37,Right-handed,3,4,4,3 Colors - No Prediction,No Prediction,3,1,2,612.710,435.478,177.23200000000003,0.5,157.0,15.0,0.9127906976744186,158.19,0.9127906976744186,15.490852116009204,3,5,N/A,N/A,I would only give tasks to greens stress levels.,4,3,4,2,2,2,1,"Yes, the ones who predict the future give you more information so you rely more on that future prediction.",Not really. The coloured circles representing strees were my main indicators so the only changes in strategy directly related to changes in these coulours.,"Yes, its the most important because if the operator is stressed you can give him a minute to rest.",It definetly helps knowing the future stress. ,This indicator makes it eaven easier. The only downside is that having so many indicators can be confusing.,5 Levels (Right),"having more that 3 stress levels is great, but not sure if stripes is the best way to visualize them. You could potentially have 5 colours: eg. green, yellow, orange, red, brown."
17,Female,19,Right-handed,1,2,2,3 Colors - No Prediction,No Prediction,3,1,1,509.749,282.898,226.851,0.5950000000000001,46.0,126.0,0.26744186046511625,44.169999999999995,0.26744186046511625,5.1990293261977945,3,4,N/A,N/A,Assigned the easy tasks to the ones with high stress and hard tasks to the resting/low stress.,3,3,2,3,3,3,1,I think when there was an intermediate mixture of colors the actual stress level was more clear so i assigned tasks accordingly,As the experiment went on I understood better the objective of the game and refined my strategy so that the operators arent that stressed all the time and the score increases.,Yes because you know if you should consider that instantly based on if its currently too stressed the predicted stress would be higher,Yes because you can see how after finishing the ongoing tasks the stress level changes,Yes  it helps when choosing which operator to assign the task to,5 Levels (Right),nan
18,Female,24,Left-handed,3,1,1,3 Colors - No Prediction,No Prediction,3,1,3,569.320,338.474,230.84600000000006,0.525,78.0,95.0,0.4508670520231214,70.64,0.4508670520231214,7.444670835382561,2,3,N/A,N/A,Let the operator rest when red circle and give hard task to fast operator when possible,3,3,2,2,3,2,1,"Yes, it was easier to find the different type of operators (fast, slow) when you had predicted stress, it was more random to assess them without predicted stress ","Across the experiment I've become faster assigning tasks, taking less time to think ","Yes, otherwise you cannot foresee their futur level of stress with the task you are giving them","Yes, because it is hard to anticipate even with the current stress, with future stress you can deduce more easily the type of operator (fast vs slow) ","Yes, it also gives more information about the operator and allows to make more relevant task assignment decisions ",3 Levels (Left),The task should be assigned to the operator when the cube falls in between the basket and the operator 
19,Male,28,Right-handed,5,5,5,3 Colors - No Prediction,No Prediction,3,1,4,694.081,414.780,279.30100000000004,0.46,171.0,2.0,0.9884393063583815,167.94,0.9884393063583815,14.517613938430816,2,4,N/A,N/A,I allocated tasks and when the stress level went yellow I would try to wait longer on those people before allocating them another task.,3,4,2,2,4,2,1,"With the predictive feedback cues I would use them as a guide as to the real stress level, without them I would have to guess how assigning a task would affect the stress levels.",Generally I tried to just wait for the lowest stress levels before assigning tasks. So this remained the same throughout.,"Yes, in general I tried not to assign tasks to operators if their stress was anything other than green. This way I at least knew the stress wouldnt reach the red level.","Yes, knowing how high the stress will be after the tasks are completed told me what to expect and when I really couldn't assign more tasks to an operator.","Yes, tested future stress levels helped me to immediately undstand the effect the task would have on the stress level.",5 Levels (Right),"I wonder if the ability to assign ""rest breaks"" with similar feedback on the effect would provide a way to better understand how far into their current level of stress the operator is."
